web-scraper-order,web-scraper-start-url,indice,Title,Release Date,Pages
"1653553987-901","https://listfist.com/list-of-one-piece-manga-chapters","901","Even If You Die, Don't Die!!!","April 16, 2018","17"
"1653553987-360","https://listfist.com/list-of-one-piece-manga-chapters","360","Departing Soon","March 28, 2005","19"
"1653553987-248","https://listfist.com/list-of-one-piece-manga-chapters","248","Former God vs. Priest","October 7, 2002","19"
"1653553987-452","https://listfist.com/list-of-one-piece-manga-chapters","452","Jigorou of the Wind","April 16, 2007","19"
"1653553987-158","https://listfist.com/list-of-one-piece-manga-chapters","158","Arriving in Alabasta","October 30, 2000","19"
"1653553987-278","https://listfist.com/list-of-one-piece-manga-chapters","278","Conis","June 2, 2003","19"
"1653553987-484","https://listfist.com/list-of-one-piece-manga-chapters","484","Squish","January 4, 2008","19"
"1653553987-726","https://listfist.com/list-of-one-piece-manga-chapters","726","The Riku Family","November 2, 2013","19"
"1653553987-921","https://listfist.com/list-of-one-piece-manga-chapters","921","Shutenmaru","October 22, 2018","19"
"1653553987-61","https://listfist.com/list-of-one-piece-manga-chapters","61","Demon","October 19, 1998","20"
"1653553987-649","https://listfist.com/list-of-one-piece-manga-chapters","649","Dance of Sea Breams and Flounders","December 12, 2011","19"
"1653553987-56","https://listfist.com/list-of-one-piece-manga-chapters","56","No Way","September 14, 1998","20"
"1653553987-929","https://listfist.com/list-of-one-piece-manga-chapters","929","Kurozumi Orochi, Shogun of the Wano Country","January 7, 2019","18"
"1653553987-255","https://listfist.com/list-of-one-piece-manga-chapters","255","The Anaconda and the Search Team","November 25, 2002","19"
"1653553987-642","https://listfist.com/list-of-one-piece-manga-chapters","642","Complete Loss of Face","October 17, 2011","19"
"1653553987-880","https://listfist.com/list-of-one-piece-manga-chapters","880","Zero Escape","October 2, 2017","17"
"1653553987-446","https://listfist.com/list-of-one-piece-manga-chapters","446","Doctor Hogback","February 26, 2007","19"
"1653553987-109","https://listfist.com/list-of-one-piece-manga-chapters","109","Responsibility Problem","October 18, 1999","19"
"1653553987-826","https://listfist.com/list-of-one-piece-manga-chapters","826","0 and 4","May 23, 2016","17"
"1653553987-520","https://listfist.com/list-of-one-piece-manga-chapters","520","Gorgon's Eyes","November 1, 2008","19"
"1653553987-763","https://listfist.com/list-of-one-piece-manga-chapters","763","Humanity Declaration","October 11, 2014","17"
"1653553987-698","https://listfist.com/list-of-one-piece-manga-chapters","698","Doflamingo Appears","February 9, 2013","19"
"1653553987-579","https://listfist.com/list-of-one-piece-manga-chapters","579","Seconds of Courage","March 29, 2010","17"
"1653553987-924","https://listfist.com/list-of-one-piece-manga-chapters","924","Ha","November 12, 2018","15"
"1653553987-82","https://listfist.com/list-of-one-piece-manga-chapters","82","OK, Let's Stand Up!","March 29, 1999","19"
"1653553987-414","https://listfist.com/list-of-one-piece-manga-chapters","414","Sanji vs. Jabra","June 12, 2006","19"
"1653553987-84","https://listfist.com/list-of-one-piece-manga-chapters","84","Zombie","April 12, 1999","19"
"1653553987-508","https://listfist.com/list-of-one-piece-manga-chapters","508","Island of Carnage","July 28, 2008","19"
"1653553987-801","https://listfist.com/list-of-one-piece-manga-chapters","801","Opening Declaration","September 28, 2015","17"
"1653553987-1041","https://listfist.com/list-of-one-piece-manga-chapters","1041","Komurasaki","February 28, 2022","17"
"1653553987-1003","https://listfist.com/list-of-one-piece-manga-chapters","1003","Night on the Board","February 8, 2021","17"
"1653553987-872","https://listfist.com/list-of-one-piece-manga-chapters","872","Thick and Fluffy","July 15, 2017","19"
"1653553987-206","https://listfist.com/list-of-one-piece-manga-chapters","206","Ignition","November 5, 2001","19"
"1653553987-818","https://listfist.com/list-of-one-piece-manga-chapters","818","Inside the Whale","March 7, 2016","17"
"1653553987-108","https://listfist.com/list-of-one-piece-manga-chapters","108","100 Bounty Hunters","October 9, 1999","19"
"1653553987-422","https://listfist.com/list-of-one-piece-manga-chapters","422","Rob Lucci","August 7, 2006","19"
"1653553987-12","https://listfist.com/list-of-one-piece-manga-chapters","12","Dog","October 13, 1997","21"
"1653553987-589","https://listfist.com/list-of-one-piece-manga-chapters","589","Efforts Toward Glory","June 28, 2010","19"
"1653553987-783","https://listfist.com/list-of-one-piece-manga-chapters","783","In My Way","April 13, 2015","19"
"1653553987-693","https://listfist.com/list-of-one-piece-manga-chapters","693","Die for Me","December 22, 2012","17"
"1653553987-114","https://listfist.com/list-of-one-piece-manga-chapters","114","Route","November 22, 1999","19"
"1653553987-902","https://listfist.com/list-of-one-piece-manga-chapters","902","End Roll","April 23, 2018","19"
"1653553987-829","https://listfist.com/list-of-one-piece-manga-chapters","829","The Yonko, Charlotte Linlin the Pirate","June 20, 2016","18"
"1653553987-261","https://listfist.com/list-of-one-piece-manga-chapters","261","Genbo the Warrior vs. Yama the Head Holy Guard","January 20, 2003","19"
"1653553987-932","https://listfist.com/list-of-one-piece-manga-chapters","932","The Shogun and the Courtesan","February 9, 2019","17"
"1653553987-694","https://listfist.com/list-of-one-piece-manga-chapters","694","The Most Dangerous Man","January 4, 2013","17"
"1653553987-808","https://listfist.com/list-of-one-piece-manga-chapters","808","Duke Inuarashi","November 30, 2015","17"
"1653553987-23","https://listfist.com/list-of-one-piece-manga-chapters","23","Captain Usopp Appears","January 12, 1998","19"
"1653553987-98","https://listfist.com/list-of-one-piece-manga-chapters","98","Dark Clouds","July 26, 1999","19"
"1653553987-774","https://listfist.com/list-of-one-piece-manga-chapters","774","Leo, the Tontatta Troop Leader","January 26, 2015","15"
"1653553987-695","https://listfist.com/list-of-one-piece-manga-chapters","695","Leave It to Me!!!","January 21, 2013","19"
"1653553987-847","https://listfist.com/list-of-one-piece-manga-chapters","847","Luffy and Big Mom","November 28, 2016","17"
"1653553987-1004","https://listfist.com/list-of-one-piece-manga-chapters","1004","Kibi Dango","February 15, 2021","17"
"1653553987-201","https://listfist.com/list-of-one-piece-manga-chapters","201","Nico Robin","October 1, 2001","19"
"1653553987-797","https://listfist.com/list-of-one-piece-manga-chapters","797","Rebecca","August 24, 2015","17"
"1653553987-111","https://listfist.com/list-of-one-piece-manga-chapters","111","Secret Criminal Syndicate","November 1, 1999","18"
"1653553987-385","https://listfist.com/list-of-one-piece-manga-chapters","385","There Is a Way","October 8, 2005","19"
"1653553987-246","https://listfist.com/list-of-one-piece-manga-chapters","246","Satori, Priest of the Wandering Forest","September 14, 2002","19"
"1653553987-249","https://listfist.com/list-of-one-piece-manga-chapters","249","The Hidden Cloud Village","October 12, 2002","19"
"1653553987-229","https://listfist.com/list-of-one-piece-manga-chapters","229","Let's Eat","May 13, 2002","19"
"1653553987-538","https://listfist.com/list-of-one-piece-manga-chapters","538","Level 5.5 New Kama Land","April 6, 2009","19"
"1653553987-681","https://listfist.com/list-of-one-piece-manga-chapters","681","Luffy vs. Master","September 15, 2012","19"
"1653553987-330","https://listfist.com/list-of-one-piece-manga-chapters","330","I've Decided","July 26, 2004","19"
"1653553987-383","https://listfist.com/list-of-one-piece-manga-chapters","383","Luffy vs. Blueno","September 26, 2005","19"
"1653553987-627","https://listfist.com/list-of-one-piece-manga-chapters","627","You Have My Gratitude","June 6, 2011","19"
"1653553987-709","https://listfist.com/list-of-one-piece-manga-chapters","709","King Punch!!","May 20, 2013","19"
"1653553987-716","https://listfist.com/list-of-one-piece-manga-chapters","716","Don Chinjao","August 5, 2013","19"
"1653553987-711","https://listfist.com/list-of-one-piece-manga-chapters","711","Adventure in the Land of Dwarves","June 17, 2013","19"
"1653553987-923","https://listfist.com/list-of-one-piece-manga-chapters","923","Yonko Kaido vs. Luffy","November 5, 2018","17"
"1653553987-555","https://listfist.com/list-of-one-piece-manga-chapters","555","Oars and the kasa","August 31, 2009","19"
"1653553987-817","https://listfist.com/list-of-one-piece-manga-chapters","817","Raizo of the Mist","February 29, 2016","19"
"1653553987-30","https://listfist.com/list-of-one-piece-manga-chapters","30","Great!!!","March 2, 1998","19"
"1653553987-728","https://listfist.com/list-of-one-piece-manga-chapters","728","The Number of Tragedies","November 18, 2013","19"
"1653553987-1044","https://listfist.com/list-of-one-piece-manga-chapters","1044","Warrior of Liberation","March 28, 2022","17"
"1653553987-138","https://listfist.com/list-of-one-piece-manga-chapters","138","Summit","June 5, 2000","19"
"1653553987-1030","https://listfist.com/list-of-one-piece-manga-chapters","1030","Echoing the Impermanence of All Things","November 1, 2021","17"
"1653553987-577","https://listfist.com/list-of-one-piece-manga-chapters","577","Major Events Piling Up One After Another","March 15, 2010","17"
"1653553987-432","https://listfist.com/list-of-one-piece-manga-chapters","432","Jack in the Box","October 30, 2006","19"
"1653553987-959","https://listfist.com/list-of-one-piece-manga-chapters","959","Samurai","October 21, 2019","17"
"1653553987-645","https://listfist.com/list-of-one-piece-manga-chapters","645","Death is Also Revenge","November 7, 2011","19"
"1653553987-424","https://listfist.com/list-of-one-piece-manga-chapters","424","Escape Ship","August 28, 2006","19"
"1653553987-713","https://listfist.com/list-of-one-piece-manga-chapters","713","Usoland","July 8, 2013","19"
"1653553987-753","https://listfist.com/list-of-one-piece-manga-chapters","753","War","July 19, 2014","17"
"1653553987-62","https://listfist.com/list-of-one-piece-manga-chapters","62","M-H-5","October 26, 1998","19"
"1653553987-69","https://listfist.com/list-of-one-piece-manga-chapters","69","Arlong Park","December 19, 1998","20"
"1653553987-787","https://listfist.com/list-of-one-piece-manga-chapters","787","4 Minutes Before","May 25, 2015","17"
"1653553987-567","https://listfist.com/list-of-one-piece-manga-chapters","567","Marineford Marine Headquarters, Oris Plaza","December 14, 2009","19"
"1653553987-743","https://listfist.com/list-of-one-piece-manga-chapters","743","Dressrosa in Turmoil","April 7, 2014","19"
"1653553987-985","https://listfist.com/list-of-one-piece-manga-chapters","985","New Onigashima Project","August 20, 2020","19"
"1653553987-1036","https://listfist.com/list-of-one-piece-manga-chapters","1036","Bushido is the Way of Death","January 4, 2022","19"
"1653553987-94","https://listfist.com/list-of-one-piece-manga-chapters","94","The Second Person","June 28, 1999","17"
"1653553987-478","https://listfist.com/list-of-one-piece-manga-chapters","478","Luffy vs. Luffy","November 12, 2007","19"
"1653553987-810","https://listfist.com/list-of-one-piece-manga-chapters","810","The Curly Hat Pirates Arrive","December 21, 2015","17"
"1653553987-482","https://listfist.com/list-of-one-piece-manga-chapters","482","Morning Comes","December 17, 2007","19"
"1653553987-324","https://listfist.com/list-of-one-piece-manga-chapters","324","Adventure in the City of Water","June 7, 2004","19"
"1653553987-591","https://listfist.com/list-of-one-piece-manga-chapters","591","You Sure That's Alright?","July 12, 2010","19"
"1653553987-593","https://listfist.com/list-of-one-piece-manga-chapters","593","News","July 26, 2010","19"
"1653553987-91","https://listfist.com/list-of-one-piece-manga-chapters","91","Darts","June 7, 1999","19"
"1653553987-133","https://listfist.com/list-of-one-piece-manga-chapters","133","Adventure in the Country Without a Name","April 24, 2000","20"
"1653553987-273","https://listfist.com/list-of-one-piece-manga-chapters","273","Quintet","April 21, 2003","19"
"1653553987-638","https://listfist.com/list-of-one-piece-manga-chapters","638","Runawayhoshi","September 12, 2011","19"
"1653553987-982","https://listfist.com/list-of-one-piece-manga-chapters","982","Ruffian Meets Ruffian","July 15, 2020","17"
"1653553987-549","https://listfist.com/list-of-one-piece-manga-chapters","549","Ship Sailing Forth","July 6, 2009","19"
"1653553987-816","https://listfist.com/list-of-one-piece-manga-chapters","816","Dog vs. Cat","February 15, 2016","17"
"1653553987-394","https://listfist.com/list-of-one-piece-manga-chapters","394","Demons of Ohara","December 26, 2005","19"
"1653553987-14","https://listfist.com/list-of-one-piece-manga-chapters","14","Reckless!!","October 27, 1997","19"
"1653553987-754","https://listfist.com/list-of-one-piece-manga-chapters","754","Pleased to Make Your Acquaintance","July 28, 2014","17"
"1653553987-101","https://listfist.com/list-of-one-piece-manga-chapters","101","Reverse Mountain","August 23, 1999","19"
"1653553987-595","https://listfist.com/list-of-one-piece-manga-chapters","595","Oath","August 9, 2010","19"
"1653553987-527","https://listfist.com/list-of-one-piece-manga-chapters","527","Level 1 Crimson Hell","January 5, 2009","19"
"1653553987-274","https://listfist.com/list-of-one-piece-manga-chapters","274","Oratorio","April 28, 2003","21"
"1653553987-363","https://listfist.com/list-of-one-piece-manga-chapters","363","Aqua Laguna","April 18, 2005","19"
"1653553987-562","https://listfist.com/list-of-one-piece-manga-chapters","562","Pirate Maelstrom Spider Squard","November 2, 2009","17"
"1653553987-375","https://listfist.com/list-of-one-piece-manga-chapters","375","The Superhumans of Enies Lobby","July 25, 2005","19"
"1653553987-253","https://listfist.com/list-of-one-piece-manga-chapters","253","Vearth","November 11, 2002","19"
"1653553987-769","https://listfist.com/list-of-one-piece-manga-chapters","769","Pirate Bellamy","December 1, 2014","17"
"1653553987-830","https://listfist.com/list-of-one-piece-manga-chapters","830","A Man You Can Bet On","June 27, 2016","17"
"1653553987-658","https://listfist.com/list-of-one-piece-manga-chapters","658","Biscuits Room","March 5, 2012","19"
"1653553987-842","https://listfist.com/list-of-one-piece-manga-chapters","842","The Power of Fullness","October 8, 2016","15"
"1653553987-172","https://listfist.com/list-of-one-piece-manga-chapters","172","Rebellion","February 26, 2001","19"
"1653553987-974","https://listfist.com/list-of-one-piece-manga-chapters","974","Onward to Onigashima!!","March 16, 2020","17"
"1653553987-531","https://listfist.com/list-of-one-piece-manga-chapters","531","Level 3 Starvation Hell","February 9, 2009","19"
"1653553987-557","https://listfist.com/list-of-one-piece-manga-chapters","557","Luffy and Whitebeard","September 19, 2009","17"
"1653553987-683","https://listfist.com/list-of-one-piece-manga-chapters","683","An Icy Woman","October 6, 2012","19"
"1653553987-514","https://listfist.com/list-of-one-piece-manga-chapters","514","Mushrooms Only Grow from the Body","September 13, 2008","19"
"1653553987-505","https://listfist.com/list-of-one-piece-manga-chapters","505","Kuma","June 30, 2008","19"
"1653553987-903","https://listfist.com/list-of-one-piece-manga-chapters","903","The Fifth Emperor","May 2, 2018","17"
"1653553987-102","https://listfist.com/list-of-one-piece-manga-chapters","102","And now, the Grand Line","August 30, 1999","19"
"1653553987-917","https://listfist.com/list-of-one-piece-manga-chapters","917","The Treasure Ship of Provisions","September 15, 2018","17"
"1653553987-730","https://listfist.com/list-of-one-piece-manga-chapters","730","3 Cards","December 9, 2013","19"
"1653553987-71","https://listfist.com/list-of-one-piece-manga-chapters","71","King of the Beasts","January 11, 1999","19"
"1653553987-1023","https://listfist.com/list-of-one-piece-manga-chapters","1023","Two Peas in a Pod","August 30, 2021","17"
"1653553987-355","https://listfist.com/list-of-one-piece-manga-chapters","355","Spandam","February 14, 2005","19"
"1653553987-515","https://listfist.com/list-of-one-piece-manga-chapters","515","Adventure on an Island of Women","September 22, 2008","19"
"1653553987-79","https://listfist.com/list-of-one-piece-manga-chapters","79","Survive","March 8, 1999","19"
"1653553987-777","https://listfist.com/list-of-one-piece-manga-chapters","777","Zoro vs. Pica","February 23, 2015","19"
"1653553987-977","https://listfist.com/list-of-one-piece-manga-chapters","977","The Party's Off!!!","April 13, 2020","17"
"1653553987-714","https://listfist.com/list-of-one-piece-manga-chapters","714","Lucy and Ucy","July 13, 2013","19"
"1653553987-237","https://listfist.com/list-of-one-piece-manga-chapters","237","In the Sky","July 8, 2002","19"
"1653553987-975","https://listfist.com/list-of-one-piece-manga-chapters","975","Kin'emon's Clever Trick","March 23, 2020","17"
"1653553987-299","https://listfist.com/list-of-one-piece-manga-chapters","299","Fantasia","November 10, 2003","19"
"1653553987-854","https://listfist.com/list-of-one-piece-manga-chapters","854","What Are You Doing?","February 6, 2017","17"
"1653553987-77","https://listfist.com/list-of-one-piece-manga-chapters","77","One Step of the Dream","February 22, 1999","19"
"1653553987-794","https://listfist.com/list-of-one-piece-manga-chapters","794","Sabo's Adventure","July 18, 2015","15"
"1653553987-968","https://listfist.com/list-of-one-piece-manga-chapters","968","Oden's Return","January 20, 2020","17"
"1653553987-167","https://listfist.com/list-of-one-piece-manga-chapters","167","Battlefront","January 15, 2001","19"
"1653553987-869","https://listfist.com/list-of-one-piece-manga-chapters","869","Under Siege","June 19, 2017","19"
"1653553987-1","https://listfist.com/list-of-one-piece-manga-chapters","1","Romance Dawn - The Dawn of the Adventure","July 19, 1997","53"
"1653553987-866","https://listfist.com/list-of-one-piece-manga-chapters","866","Natural Born Destroyer","May 29, 2017","17"
"1653553987-44","https://listfist.com/list-of-one-piece-manga-chapters","44","Three Cooks","June 15, 1998","20"
"1653553987-744","https://listfist.com/list-of-one-piece-manga-chapters","744","The Revolutionary Army Chief of Staff","April 14, 2014","19"
"1653553987-202","https://listfist.com/list-of-one-piece-manga-chapters","202","The Royal Crypt","October 6, 2001","19"
"1653553987-480","https://listfist.com/list-of-one-piece-manga-chapters","480","Ambush Attack","December 3, 2007","19"
"1653553987-748","https://listfist.com/list-of-one-piece-manga-chapters","748","My Repayment","May 26, 2014","17"
"1653553987-175","https://listfist.com/list-of-one-piece-manga-chapters","175","Liberation","March 19, 2001","19"
"1653553987-1037","https://listfist.com/list-of-one-piece-manga-chapters","1037","Shuron Hakke","January 17, 2022","17"
"1653553987-553","https://listfist.com/list-of-one-piece-manga-chapters","553","Conflict at the Summit","August 10, 2009","17"
"1653553987-568","https://listfist.com/list-of-one-piece-manga-chapters","568","Have It Your Own Damned Way","December 21, 2009","15"
"1653553987-218","https://listfist.com/list-of-one-piece-manga-chapters","218","Why the Log Pose is Spherical","February 18, 2002","19"
"1653553987-135","https://listfist.com/list-of-one-piece-manga-chapters","135","Lapahn","May 15, 2000","19"
"1653553987-654","https://listfist.com/list-of-one-piece-manga-chapters","654","Gam","January 30, 2012","19"
"1653553987-837","https://listfist.com/list-of-one-piece-manga-chapters","837","Luffy vs. Commander Cracker","August 29, 2016","17"
"1653553987-778","https://listfist.com/list-of-one-piece-manga-chapters","778","Tactics No. 5","March 2, 2015","19"
"1653553987-405","https://listfist.com/list-of-one-piece-manga-chapters","405","Power","March 27, 2006","19"
"1653553987-958","https://listfist.com/list-of-one-piece-manga-chapters","958","The Promised Port","October 7, 2019","15"
"1653553987-815","https://listfist.com/list-of-one-piece-manga-chapters","815","Take Me with You!!","February 8, 2016","17"
"1653553987-51","https://listfist.com/list-of-one-piece-manga-chapters","51","Roronoa Zoro Falls Into the Sea","August 3, 1998","19"
"1653553987-919","https://listfist.com/list-of-one-piece-manga-chapters","919","The Ruins of Oden Castle","October 1, 2018","17"
"1653553987-241","https://listfist.com/list-of-one-piece-manga-chapters","241","The Judgement of Heaven","August 5, 2002","17"
"1653553987-749","https://listfist.com/list-of-one-piece-manga-chapters","749","March Forward!! Army of Rascals","June 2, 2014","17"
"1653553987-883","https://listfist.com/list-of-one-piece-manga-chapters","883","Merienda","October 30, 2017","17"
"1653553987-423","https://listfist.com/list-of-one-piece-manga-chapters","423","Mermaid Legend","August 21, 2006","19"
"1653553987-429","https://listfist.com/list-of-one-piece-manga-chapters","429","Complete Defeat","October 2, 2006","19"
"1653553987-199","https://listfist.com/list-of-one-piece-manga-chapters","199","Hope!!","September 17, 2001","19"
"1653553987-530","https://listfist.com/list-of-one-piece-manga-chapters","530","From Hell to Hell","February 2, 2009","19"
"1653553987-1008","https://listfist.com/list-of-one-piece-manga-chapters","1008","Leader of the Mt. Atama Thieves, Ashura Doji","March 29, 2021","17"
"1653553987-485","https://listfist.com/list-of-one-piece-manga-chapters","485","Straw Hat Crew - Pirate Hunter Zoro","January 21, 2008","19"
"1653553987-406","https://listfist.com/list-of-one-piece-manga-chapters","406","Seimei Kikan","April 10, 2006","19"
"1653553987-301","https://listfist.com/list-of-one-piece-manga-chapters","301","I Was Here","December 1, 2003","19"
"1653553987-582","https://listfist.com/list-of-one-piece-manga-chapters","582","Luffy and Ace","April 26, 2010","19"
"1653553987-179","https://listfist.com/list-of-one-piece-manga-chapters","179","The End Will Be in Alubarna","April 16, 2001","19"
"1653553987-793","https://listfist.com/list-of-one-piece-manga-chapters","793","Tiger and Dog","July 13, 2015","15"
"1653553987-768","https://listfist.com/list-of-one-piece-manga-chapters","768","The Trigger on That Day","November 22, 2014","15"
"1653553987-203","https://listfist.com/list-of-one-piece-manga-chapters","203","Crocish","October 15, 2001","19"
"1653553987-73","https://listfist.com/list-of-one-piece-manga-chapters","73","The Monster from the ""Grand Line""","January 25, 1999","19"
"1653553987-529","https://listfist.com/list-of-one-piece-manga-chapters","529","Level 2 Wild Beast Hell","January 26, 2009","19"
"1653553987-291","https://listfist.com/list-of-one-piece-manga-chapters","291","I'm Right Here","September 13, 2003","19"
"1653553987-121","https://listfist.com/list-of-one-piece-manga-chapters","121","I Knew","January 31, 2000","19"
"1653553987-841","https://listfist.com/list-of-one-piece-manga-chapters","841","To the East Blue","October 3, 2016","17"
"1653553987-547","https://listfist.com/list-of-one-piece-manga-chapters","547","Escaping the Island","June 22, 2009","19"
"1653553987-58","https://listfist.com/list-of-one-piece-manga-chapters","58","Old Fart","September 28, 1998","19"
"1653553987-81","https://listfist.com/list-of-one-piece-manga-chapters","81","Tears","March 20, 1999","19"
