web-scraper-order,web-scraper-start-url,Vivre Card [source],Character,Birth Month,Birth Day,Age,Height in Meters,Blood Type
"1653321016-316","https://listfist.com/list-of-one-piece-vivre-cards","null","Ukkari","(02) February","17","","",""
"1653321016-281","https://listfist.com/list-of-one-piece-vivre-cards","null","Vinsmoke Sanji","(03) March","2","21","1.80","S (O) RH-"
"1653321016-780","https://listfist.com/list-of-one-piece-vivre-cards","null","Emporio Ivankov","(01) January","8","53","4.49","XF (AB)"
"1653321016-697","https://listfist.com/list-of-one-piece-vivre-cards","null","Capone Bege","(01) January","17","42","1.66","S (O)"
"1653321016-943","https://listfist.com/list-of-one-piece-vivre-cards","null","Bartolomeo","(10) October","6","24","2.20","X (A)"
"1653321016-319","https://listfist.com/list-of-one-piece-vivre-cards","null","Ripper","(06) June","13","","",""
"1653321016-604","https://listfist.com/list-of-one-piece-vivre-cards","null","Sea Monkey","","","","",""
"1653321016-668","https://listfist.com/list-of-one-piece-vivre-cards","null","Victoria Cindry","(05) May","4","24","1.88","F (B)"
"1653321016-1129","https://listfist.com/list-of-one-piece-vivre-cards","null","Page One","(02) February","10","20","1.71","X (A)"
"1653321016-493","https://listfist.com/list-of-one-piece-vivre-cards","null","Hyota","","","","",""
"1653321016-489","https://listfist.com/list-of-one-piece-vivre-cards","null","Lassoo","(01) January","4","","",""
"1653321016-398","https://listfist.com/list-of-one-piece-vivre-cards","null","Mashikaku","(12) December","26","","",""
"1653321016-913","https://listfist.com/list-of-one-piece-vivre-cards","null","Otohime","(01) January","10","36","2.24","S (O)"
"1653321016-759","https://listfist.com/list-of-one-piece-vivre-cards","null","Maskeredomo Bird","(12) December","8","","",""
"1653321016-756","https://listfist.com/list-of-one-piece-vivre-cards","null","Taroimo","(10) October","16","","",""
"1653321016-683","https://listfist.com/list-of-one-piece-vivre-cards","null","Sea Bunny","(10) October","19","","",""
"1653321016-843","https://listfist.com/list-of-one-piece-vivre-cards","null","Curly Dadan","(08) August","30","55","2.21","X (A)"
"1653321016-983","https://listfist.com/list-of-one-piece-vivre-cards","null","Vinsmoke Yonji","(03) March","2","21","1.94","S (O) RH-"
"1653321016-513","https://listfist.com/list-of-one-piece-vivre-cards","null","Bellamy","(08) August","7","27","2.40","F (B)"
"1653321016-855","https://listfist.com/list-of-one-piece-vivre-cards","null","Sea Hippo","","","","",""
"1653321016-1061","https://listfist.com/list-of-one-piece-vivre-cards","null","Komashika","","","","",""
"1653321016-743","https://listfist.com/list-of-one-piece-vivre-cards","null","Ran","(11) November","24","","",""
"1653321016-903","https://listfist.com/list-of-one-piece-vivre-cards","null","Neptune","(07) July","3","70","12.20","X (A)"
"1653321016-848","https://listfist.com/list-of-one-piece-vivre-cards","null","Bluejam","(02) February","16","42","2.61","X (A)"
"1653321016-296","https://listfist.com/list-of-one-piece-vivre-cards","null","Yasopp","(08) August","2","47","1.83","S (O)"
"1653321016-1020","https://listfist.com/list-of-one-piece-vivre-cards","null","Beer VI","","","","",""
"1653321016-936","https://listfist.com/list-of-one-piece-vivre-cards","null","Kelly Funk","(12) December","9","36","1.68","X (A)"
"1653321016-1123","https://listfist.com/list-of-one-piece-vivre-cards","null","Kobe","","","","",""
"1653321016-545","https://listfist.com/list-of-one-piece-vivre-cards","null","Doc Q","(10) October","18","28","3.42","S (O)"
"1653321016-458","https://listfist.com/list-of-one-piece-vivre-cards","null","Zala","(07) July","30","28","1.87","X (A)"
"1653321016-883","https://listfist.com/list-of-one-piece-vivre-cards","null","Rush","","","","",""
"1653321016-1006","https://listfist.com/list-of-one-piece-vivre-cards","null","Morgans","(07) July","14","53","3.05","XF (AB)"
"1653321016-601","https://listfist.com/list-of-one-piece-vivre-cards","null","Kyuji","","","","",""
"1653321016-1038","https://listfist.com/list-of-one-piece-vivre-cards","null","Tritobu","","","","",""
"1653321016-633","https://listfist.com/list-of-one-piece-vivre-cards","null","Tyrannosaurus","(10) October","20","","",""
"1653321016-763","https://listfist.com/list-of-one-piece-vivre-cards","null","Pankuta Dakeyan","(06) June","29","","",""
"1653321016-654","https://listfist.com/list-of-one-piece-vivre-cards","null","And","(03) March","31","53","5.12","XF (AB)"
"1653321016-308","https://listfist.com/list-of-one-piece-vivre-cards","null","Peppoko","(09) September","2","","",""
"1653321016-351","https://listfist.com/list-of-one-piece-vivre-cards","null","Motzel","(09) September","7","","",""
"1653321016-1034","https://listfist.com/list-of-one-piece-vivre-cards","null","Lemoncheese","","","","",""
"1653321016-595","https://listfist.com/list-of-one-piece-vivre-cards","null","Coburn","","","","",""
"1653321016-1016","https://listfist.com/list-of-one-piece-vivre-cards","null","Morley","(09) September","11","160","12.53","F (B)"
"1653321016-1037","https://listfist.com/list-of-one-piece-vivre-cards","null","Furrari","","","","",""
"1653321016-1087","https://listfist.com/list-of-one-piece-vivre-cards","null","Shinobu","(10) October","23","49","1.80","F (B)"
"1653321016-504","https://listfist.com/list-of-one-piece-vivre-cards","null","Terracotta","(09) September","25","","",""
"1653321016-499","https://listfist.com/list-of-one-piece-vivre-cards","null","Mr. 7 (Last)","","","","",""
"1653321016-952","https://listfist.com/list-of-one-piece-vivre-cards","null","Gladius","(08) August","6","33","2.60","XF (AB)"
"1653321016-910","https://listfist.com/list-of-one-piece-vivre-cards","null","Vander Decken IX","(08) August","22","35","3.52","XF (AB)"
"1653321016-357","https://listfist.com/list-of-one-piece-vivre-cards","null","Pandaman","(02) February","29","","2.00",""
"1653321016-784","https://listfist.com/list-of-one-piece-vivre-cards","null","Minozebra","(03) March","7","","",""
"1653321016-487","https://listfist.com/list-of-one-piece-vivre-cards","null","Kentauros","(11) November","23","15","1.57","F (B)"
"1653321016-461","https://listfist.com/list-of-one-piece-vivre-cards","null","Erimaki Runners","","","","",""
"1653321016-862","https://listfist.com/list-of-one-piece-vivre-cards","null","Kasa","","","","",""
"1653321016-976","https://listfist.com/list-of-one-piece-vivre-cards","null","Nekomamushi","(11) November","22","40","5.22","S (O)"
"1653321016-300","https://listfist.com/list-of-one-piece-vivre-cards","null","Higuma","(11) November","18","46","1.90","X (A)"
"1653321016-563","https://listfist.com/list-of-one-piece-vivre-cards","null","Kamakiri","(07) July","10","24","2.14","F (B)"
"1653321016-366","https://listfist.com/list-of-one-piece-vivre-cards","null","Kumate Tribe","(09) September","29","","",""
"1653321016-1134","https://listfist.com/list-of-one-piece-vivre-cards","null","Warazane","","","","",""
"1653321016-663","https://listfist.com/list-of-one-piece-vivre-cards","null","Monkey D. Garp","(05) May","2","78","2.87","F (B)"
"1653321016-621","https://listfist.com/list-of-one-piece-vivre-cards","null","Mountain Ricky","","","","",""
"1653321016-320","https://listfist.com/list-of-one-piece-vivre-cards","null","Pinky","(09) September","29","","",""
"1653321016-337","https://listfist.com/list-of-one-piece-vivre-cards","null","Piiman","(04) April","9","11","1.20","XF (AB)"
"1653321016-776","https://listfist.com/list-of-one-piece-vivre-cards","null","Dobby Ibadonbo","","","","",""
"1653321016-1017","https://listfist.com/list-of-one-piece-vivre-cards","null","Belo Betty","(06) June","15","34","1.96","XF (AB)"
"1653321016-438","https://listfist.com/list-of-one-piece-vivre-cards","null","Tamachibi","(06) June","17","","",""
"1653321016-827","https://listfist.com/list-of-one-piece-vivre-cards","null","Kingdew","(11) November","13","","",""
"1653321016-482","https://listfist.com/list-of-one-piece-vivre-cards","null","Sandora Catfish","","","","",""
"1653321016-401","https://listfist.com/list-of-one-piece-vivre-cards","null","Tashigi","(10) October","6","23","1.70","S (O)"
"1653321016-471","https://listfist.com/list-of-one-piece-vivre-cards","null","Aswa","","","","",""
"1653321016-899","https://listfist.com/list-of-one-piece-vivre-cards","null","Dosun","(10) October","9","30","4.18","S (O)"
"1653321016-993","https://listfist.com/list-of-one-piece-vivre-cards","null","Charlotte Cracker","(02) February","28","45","3.07","X (A)"
"1653321016-463","https://listfist.com/list-of-one-piece-vivre-cards","null","Warusagi Birds","","","","",""
"1653321016-698","https://listfist.com/list-of-one-piece-vivre-cards","null","Jewelry Bonney","(09) September","1","24","1.74","F (B)"
"1653321016-1067","https://listfist.com/list-of-one-piece-vivre-cards","null","Hiroshi","","","","",""
"1653321016-929","https://listfist.com/list-of-one-piece-vivre-cards","null","Baby 5","(05) May","15","24","1.81","XF (AB)"
"1653321016-678","https://listfist.com/list-of-one-piece-vivre-cards","null","Jigoro","","","59","2.38","S (O)"
"1653321016-731","https://listfist.com/list-of-one-piece-vivre-cards","null","Sentomaru","(03) March","10","34","2.79","F (B)"
"1653321016-1156","https://listfist.com/list-of-one-piece-vivre-cards","null","Kozuki Toki","(01) January","19","36","1.90","X (A)"
"1653321016-1049","https://listfist.com/list-of-one-piece-vivre-cards","null","Giro Chintaro","","","","",""
"1653321016-460","https://listfist.com/list-of-one-piece-vivre-cards","null","Banchi","","","","",""
"1653321016-788","https://listfist.com/list-of-one-piece-vivre-cards","null","Wolf Unit","","","","",""
"1653321016-1155","https://listfist.com/list-of-one-piece-vivre-cards","null","Kozuki Oden","(02) February","22","39","3.82","F (B)"
"1653321016-584","https://listfist.com/list-of-one-piece-vivre-cards","null","Chief","(10) October","4","65","1.79","X (A)"
"1653321016-417","https://listfist.com/list-of-one-piece-vivre-cards","null","Mikita","(02) February","14","24","1.77","XF (AB)"
"1653321016-853","https://listfist.com/list-of-one-piece-vivre-cards","null","Ahho Zurako","","","","",""
"1653321016-650","https://listfist.com/list-of-one-piece-vivre-cards","null","Fukurou","(06) June","29","31","3.31","S (O)"
"1653321016-773","https://listfist.com/list-of-one-piece-vivre-cards","null","Sadi","(03) March","5","23","1.83","S (O)"
"1653321016-979","https://listfist.com/list-of-one-piece-vivre-cards","null","Raizo","(02) February","26","35","3.11","X (A)"
"1653321016-880","https://listfist.com/list-of-one-piece-vivre-cards","null","Brew","","","","",""
"1653321016-694","https://listfist.com/list-of-one-piece-vivre-cards","null","Kairiken","(01) January","24","","",""
"1653321016-1159","https://listfist.com/list-of-one-piece-vivre-cards","null","Black Maria","(09) September","24","29","8.20","S (O)"
"1653321016-396","https://listfist.com/list-of-one-piece-vivre-cards","null","Ipponume","(12) December","1","","",""
"1653321016-675","https://listfist.com/list-of-one-piece-vivre-cards","null","Charlotte Lola","(01) January","27","26","2.15","F (B)"
"1653321016-314","https://listfist.com/list-of-one-piece-vivre-cards","null","Morgan","(04) April","13","44","2.85","XF (AB)"
"1653321016-321","https://listfist.com/list-of-one-piece-vivre-cards","null","Tightrope Funan Bros.","(02) February","25","","",""
"1653321016-661","https://listfist.com/list-of-one-piece-vivre-cards","null","Funkfreed","(04) April","28","","",""
"1653321016-611","https://listfist.com/list-of-one-piece-vivre-cards","null","Porche","(11) November","16","","",""
"1653321016-312","https://listfist.com/list-of-one-piece-vivre-cards","null","Soro","(11) November","11","","",""
"1653321016-1086","https://listfist.com/list-of-one-piece-vivre-cards","null","Kagero","","","","",""
"1653321016-355","https://listfist.com/list-of-one-piece-vivre-cards","null","Patty","(03) March","12","29","2.04","X (A)"
"1653321016-666","https://listfist.com/list-of-one-piece-vivre-cards","null","Thatch","(03) March","24","","",""
"1653321016-832","https://listfist.com/list-of-one-piece-vivre-cards","null","Islewan","(01) January","1","","",""
"1653321016-618","https://listfist.com/list-of-one-piece-vivre-cards","null","Monda","(04) April","3","","",""
"1653321016-744","https://listfist.com/list-of-one-piece-vivre-cards","null","Cosmos","(09) September","26","","",""
"1653321016-950","https://listfist.com/list-of-one-piece-vivre-cards","null","Giolla","(01) January","25","61","2.21","S (O)"
"1653321016-997","https://listfist.com/list-of-one-piece-vivre-cards","null","Cezar","","","","",""
"1653321016-556","https://listfist.com/list-of-one-piece-vivre-cards","null","Holy","(11) November","7","","",""
"1653321016-586","https://listfist.com/list-of-one-piece-vivre-cards","null","Moda","(06) June","1","","",""
"1653321016-1078","https://listfist.com/list-of-one-piece-vivre-cards","null","Kamijiro","","","","","F (B)"
"1653321016-287","https://listfist.com/list-of-one-piece-vivre-cards","null","Jinbe","(04) April","2","46","3.01","F (B)"
"1653321016-531","https://listfist.com/list-of-one-piece-vivre-cards","null","Stainless","","","","",""
"1653321016-779","https://listfist.com/list-of-one-piece-vivre-cards","null","Inazuma","(08) August","3","29","2.28","F (B)"
"1653321016-551","https://listfist.com/list-of-one-piece-vivre-cards","null","Amazon","(08) August","4","79","1.20","X (A)"
"1653321016-736","https://listfist.com/list-of-one-piece-vivre-cards","null","Kikyo","(07) July","27","","",""
"1653321016-1085","https://listfist.com/list-of-one-piece-vivre-cards","null","Kurosawa","","","","",""
"1653321016-518","https://listfist.com/list-of-one-piece-vivre-cards","null","Ross","","","","",""
"1653321016-393","https://listfist.com/list-of-one-piece-vivre-cards","null","Koze","(05) May","27","","",""
"1653321016-885","https://listfist.com/list-of-one-piece-vivre-cards","null","Cands","","","","",""
"1653321016-648","https://listfist.com/list-of-one-piece-vivre-cards","null","Nero","(01) January","26","22","2.02","X (A)"
"1653321016-1060","https://listfist.com/list-of-one-piece-vivre-cards","null","Wanizame","","","","",""
"1653321016-1009","https://listfist.com/list-of-one-piece-vivre-cards","null","Charlotte Oven","(11) November","25","48","4.92","F (B)"
"1653321016-1023","https://listfist.com/list-of-one-piece-vivre-cards","null","Matryoseka","","","","",""
"1653321016-430","https://listfist.com/list-of-one-piece-vivre-cards","null","Akumai","(12) December","27","","",""
"1653321016-1132","https://listfist.com/list-of-one-piece-vivre-cards","null","Raijin","(06) June","4","45","2.00","X (A)"
"1653321016-389","https://listfist.com/list-of-one-piece-vivre-cards","null","News Coo","","","","",""
"1653321016-652","https://listfist.com/list-of-one-piece-vivre-cards","null","Kashii","(04) April","1","156","17.00","X (A)"
"1653321016-605","https://listfist.com/list-of-one-piece-vivre-cards","null","Rainbow Moray Eel Brothers","","","","",""
"1653321016-410","https://listfist.com/list-of-one-piece-vivre-cards","null","Miss Catherina","(03) March","23","","",""
"1653321016-293","https://listfist.com/list-of-one-piece-vivre-cards","null","Monster","(10) October","31","","",""
"1653321016-1112","https://listfist.com/list-of-one-piece-vivre-cards","null","Kaku (Wano)","","","","",""
"1653321016-587","https://listfist.com/list-of-one-piece-vivre-cards","null","Kalgara","(10) October","4","39","2.22","X (A)"
"1653321016-562","https://listfist.com/list-of-one-piece-vivre-cards","null","Aisa","(01) January","3","11","1.40","F (B)"
"1653321016-624","https://listfist.com/list-of-one-piece-vivre-cards","null","Donovan","","","","",""
"1653321016-807","https://listfist.com/list-of-one-piece-vivre-cards","null","Reuder","","","","",""
"1653321016-777","https://listfist.com/list-of-one-piece-vivre-cards","null","Minotaurus","(03) March","4","","",""
"1653321016-478","https://listfist.com/list-of-one-piece-vivre-cards","null","Ultraking","","","","",""
"1653321016-1131","https://listfist.com/list-of-one-piece-vivre-cards","null","Asashichi","","","","",""
"1653321016-1050","https://listfist.com/list-of-one-piece-vivre-cards","null","Toyama Tsujigiro","","","","",""
"1653321016-348","https://listfist.com/list-of-one-piece-vivre-cards","null","Yosaku","(11) November","10","26","1.85","F (B)"
"1653321016-368","https://listfist.com/list-of-one-piece-vivre-cards","null","Panda Shark","(08) August","29","","",""
"1653321016-866","https://listfist.com/list-of-one-piece-vivre-cards","null","Blondie","(02) February","6","","",""
"1653321016-873","https://listfist.com/list-of-one-piece-vivre-cards","null","Cocoa","(11) November","7","27","1.38","X (A)"
"1653321016-703","https://listfist.com/list-of-one-piece-vivre-cards","null","Urouge","(08) August","1","47","3.88","S (O)"
"1653321016-1058","https://listfist.com/list-of-one-piece-vivre-cards","null","Bunbuku","","","","",""
"1653321016-388","https://listfist.com/list-of-one-piece-vivre-cards","null","Den Den Mushi","","","","",""
"1653321016-841","https://listfist.com/list-of-one-piece-vivre-cards","null","Candre","(05) May","19","","",""
"1653321016-416","https://listfist.com/list-of-one-piece-vivre-cards","null","Gem","(07) July","26","26","1.97","X (A)"
"1653321016-509","https://listfist.com/list-of-one-piece-vivre-cards","null","Makko","","","","",""
"1653321016-425","https://listfist.com/list-of-one-piece-vivre-cards","null","Marianne","(04) April","29","18","1.45","XF (AB)"
"1653321016-307","https://listfist.com/list-of-one-piece-vivre-cards","null","Heppoko","(09) September","2","","",""
"1653321016-707","https://listfist.com/list-of-one-piece-vivre-cards","null","Bepo","(11) November","20","22","2.40","S (O)"
"1653321016-785","https://listfist.com/list-of-one-piece-vivre-cards","null","Kairo Kureyo","","","","",""
"1653321016-409","https://listfist.com/list-of-one-piece-vivre-cards","null","The Snow Queen","(02) February","18","","",""
"1653321016-1033","https://listfist.com/list-of-one-piece-vivre-cards","null","Couran","","","","",""
"1653321016-1094","https://listfist.com/list-of-one-piece-vivre-cards","null","Maki","","","","",""
"1653321016-581","https://listfist.com/list-of-one-piece-vivre-cards","null","Warashi","","","","",""
"1653321016-863","https://listfist.com/list-of-one-piece-vivre-cards","null","Scotch","","","","",""
"1653321016-439","https://listfist.com/list-of-one-piece-vivre-cards","null","Kureha","(09) September","8","141","1.88","S (O)"
"1653321016-774","https://listfist.com/list-of-one-piece-vivre-cards","null","Sphinx","","","","30.00",""
"1653321016-818","https://listfist.com/list-of-one-piece-vivre-cards","null","Elmy","(06) June","30","","",""
"1653321016-340","https://listfist.com/list-of-one-piece-vivre-cards","null","Kaya","(08) August","24","19","1.69","F (B)"
"1653321016-987","https://listfist.com/list-of-one-piece-vivre-cards","null","Pound","(08) August","21","48","7.31","F (B)"
"1653321016-677","https://listfist.com/list-of-one-piece-vivre-cards","null","Jigoro (Zombie)","(02) February","21","","2.38","S (O)"
"1653321016-479","https://listfist.com/list-of-one-piece-vivre-cards","null","Koala Mercenaries","","","","",""
"1653321016-603","https://listfist.com/list-of-one-piece-vivre-cards","null","Octopus Balloon","","","","",""
"1653321016-906","https://listfist.com/list-of-one-piece-vivre-cards","null","Minister of the Right","(04) April","5","55","3.13","XF (AB)"
"1653321016-915","https://listfist.com/list-of-one-piece-vivre-cards","null","Aladdin","(01) January","31","46","6.27","XF (AB)"
"1653321016-474","https://listfist.com/list-of-one-piece-vivre-cards","null","Farafra","","","","",""
"1653321016-905","https://listfist.com/list-of-one-piece-vivre-cards","null","Megalo","(04) April","8","","25.00",""
"1653321016-672","https://listfist.com/list-of-one-piece-vivre-cards","null","Perona","(06) June","7","25","1.60","XF (AB)"
"1653321016-861","https://listfist.com/list-of-one-piece-vivre-cards","null","Haritsu Kendiyo","","","","",""
"1653321016-411","https://listfist.com/list-of-one-piece-vivre-cards","null","Mr. Beans","(02) February","24","","",""
"1653321016-686","https://listfist.com/list-of-one-piece-vivre-cards","null","Duval","(08) August","11","25","4.70","S (O)"
"1653321016-964","https://listfist.com/list-of-one-piece-vivre-cards","null","Kaidou","(05) May","1","59","7.10","F (B)"
"1653321016-764","https://listfist.com/list-of-one-piece-vivre-cards","null","Domino","(10) October","30","","",""
"1653321016-679","https://listfist.com/list-of-one-piece-vivre-cards","null","Gecko Moria","(09) September","6","50","6.92","X (A)"
"1653321016-369","https://listfist.com/list-of-one-piece-vivre-cards","null","Nami Fishman","(07) July","3","","",""
"1653321016-1083","https://listfist.com/list-of-one-piece-vivre-cards","null","Tabuhachiro","","","","",""
"1653321016-636","https://listfist.com/list-of-one-piece-vivre-cards","null","Rob Lucci","(06) June","2","30","2.12","XF (AB)"
"1653321016-642","https://listfist.com/list-of-one-piece-vivre-cards","null","Blueno","(04) April","20","32","2.58","X (A)"
"1653321016-870","https://listfist.com/list-of-one-piece-vivre-cards","null","Mounblutain","(01) January","9","30","2.94","XF (AB)"
"1653321016-713","https://listfist.com/list-of-one-piece-vivre-cards","null","Marin","(10) October","17","","",""
"1653321016-1142","https://listfist.com/list-of-one-piece-vivre-cards","null","Sarutobi","(03) March","12","45","3.78","F (B)"
"1653321016-1088","https://listfist.com/list-of-one-piece-vivre-cards","null","Ashura Doji","(04) April","10","56","5.44","X (A)"
"1653321016-716","https://listfist.com/list-of-one-piece-vivre-cards","null","Disco","(06) June","12","","",""
"1653321016-655","https://listfist.com/list-of-one-piece-vivre-cards","null","Bas","(03) March","30","48","5.12","X (A)"
"1653321016-1157","https://listfist.com/list-of-one-piece-vivre-cards","null","Ulti","(01) January","4","22","1.73","XF (AB)"
"1653321016-631","https://listfist.com/list-of-one-piece-vivre-cards","null","Kaku","(08) August","7","25","1.93","X (A)"
"1653321016-588","https://listfist.com/list-of-one-piece-vivre-cards","null","Mont Blanc Noland","(10) October","9","39","2.20","S (O)"
"1653321016-548","https://listfist.com/list-of-one-piece-vivre-cards","null","Eraser Pirates","","","","",""
"1653321016-667","https://listfist.com/list-of-one-piece-vivre-cards","null","Victoria Cindry (Zombie)","(05) May","4","","1.88","F (B)"
"1653321016-567","https://listfist.com/list-of-one-piece-vivre-cards","null","Raki","(07) July","7","22","1.79","S (O)"
"1653321016-532","https://listfist.com/list-of-one-piece-vivre-cards","null","Tsuru (Marine)","(03) March","26","76","2.04","X (A)"
"1653321016-982","https://listfist.com/list-of-one-piece-vivre-cards","null","Gotti","(05) May","21","33","3.75","S (O)"
"1653321016-723","https://listfist.com/list-of-one-piece-vivre-cards","null","Sicily","(06) June","5","","",""
"1653321016-465","https://listfist.com/list-of-one-piece-vivre-cards","null","Matsuge","(08) August","17","17","1.90","X (A)"
"1653321016-947","https://listfist.com/list-of-one-piece-vivre-cards","null","Riku Doldo III","(06) June","27","60","2.61","S (O)"
"1653321016-953","https://listfist.com/list-of-one-piece-vivre-cards","null","Dellinger","(08) August","11","16","1.45","S (O) RH-"
"1653321016-324","https://listfist.com/list-of-one-piece-vivre-cards","null","Domo-kun","(01) January","30","","",""
"1653321016-696","https://listfist.com/list-of-one-piece-vivre-cards","null","Shakuyaku","(05) May","8","64","1.86","X (A)"
"1653321016-1010","https://listfist.com/list-of-one-piece-vivre-cards","null","Carmel","(12) December","21","80","1.85","S (O)"
"1653321016-558","https://listfist.com/list-of-one-piece-vivre-cards","null","Satori","(03) March","10","27","1.79","S (O)"
"1653321016-882","https://listfist.com/list-of-one-piece-vivre-cards","null","Brocca","","","","",""
"1653321016-680","https://listfist.com/list-of-one-piece-vivre-cards","null","Oars (Zombie)","(10) October","4","0","67.00","F (B)"
"1653321016-1073","https://listfist.com/list-of-one-piece-vivre-cards","null","Smart Tanishi","","","","",""
"1653321016-302","https://listfist.com/list-of-one-piece-vivre-cards","null","Chicken","(02) February","8","","",""
"1653321016-955","https://listfist.com/list-of-one-piece-vivre-cards","null","Senor Pink","(06) June","12","46","2.44","X (A)"
"1653321016-801","https://listfist.com/list-of-one-piece-vivre-cards","null","Blenheim","(08) August","6","","",""
"1653321016-617","https://listfist.com/list-of-one-piece-vivre-cards","null","Capote","(05) May","1","","",""
"1653321016-782","https://listfist.com/list-of-one-piece-vivre-cards","null","Shiryu","(06) June","11","44","3.40","X (A)"
"1653321016-1063","https://listfist.com/list-of-one-piece-vivre-cards","null","Kikunojo","(09) September","9","22","2.87","XF (AB)"
"1653321016-597","https://listfist.com/list-of-one-piece-vivre-cards","null","Child of Kashigami","","","","",""
"1653321016-1138","https://listfist.com/list-of-one-piece-vivre-cards","null","Hanzo","(08) August","3","42","5.44","F (B)"
"1653321016-590","https://listfist.com/list-of-one-piece-vivre-cards","null","Seto","(07) July","16","","",""
"1653321016-992","https://listfist.com/list-of-one-piece-vivre-cards","null","Charlotte Perospero","(03) March","14","50","3.33","X (A)"
"1653321016-1122","https://listfist.com/list-of-one-piece-vivre-cards","null","Kumagoro","","","","",""
"1653321016-593","https://listfist.com/list-of-one-piece-vivre-cards","null","Honner","","","","",""
"1653321016-990","https://listfist.com/list-of-one-piece-vivre-cards","null","Charlotte Chiffon","(01) January","27","26","2.15","F (B)"
"1653321016-591","https://listfist.com/list-of-one-piece-vivre-cards","null","Mousse","(06) June","3","","",""
"1653321016-994","https://listfist.com/list-of-one-piece-vivre-cards","null","Kingbaum","(07) July","13","","23.40",""
"1653321016-804","https://listfist.com/list-of-one-piece-vivre-cards","null","Blamenco","(02) February","5","","",""
"1653321016-958","https://listfist.com/list-of-one-piece-vivre-cards","null","Diamante","(05) May","29","45","5.25","S (O)"
"1653321016-515","https://listfist.com/list-of-one-piece-vivre-cards","null","Sarquiss","(07) July","12","27","2.28","F (B)"
"1653321016-829","https://listfist.com/list-of-one-piece-vivre-cards","null","Vitan","","","","",""
"1653321016-553","https://listfist.com/list-of-one-piece-vivre-cards","null","Conis","(05) May","20","21","1.76","F (B)"
"1653321016-497","https://listfist.com/list-of-one-piece-vivre-cards","null","Mash","","","","",""
